,distance,velocity,minttc
545,30,24,0.47867802
546,30,24.4,0.478677747
547,30,24.8,1.709545155
548,30,25.2,1.704155271
549,30,25.6,1.704221353
550,30,26,1.704221353
551,30,26.4,1.732328045
552,30,26.8,1.704214278
553,30,27.2,1.704221353
554,30,27.6,1.704221353
555,30,28,1.704221353
556,30,28.4,1.704176194
557,30,28.8,1.70415497
558,30,29.2,1.960202684
559,30,29.6,1.963872689
560,30,30,1.963863607
561,32,10,2.944233764
562,32,10.4,2.969554377
563,32,10.8,2.96955793
564,32,11.2,2.969498708
565,32,11.6,2.969538979
566,32,12,2.969578066
567,32,12.4,2.969538979
568,32,12.8,2.984953766
569,32,13.2,2.969561484
570,32,13.6,2.96955793
571,32,14,2.984953766
572,32,14.4,2.984953766
573,32,14.8,2.969541348
574,32,15.2,2.96955793
575,32,15.6,2.969517659
576,32,16,2.969517659
577,32,16.4,2.984953766
578,32,16.8,2.969541348
579,32,17.2,2.984953766
580,32,17.6,2.984953766
581,32,18,2.969541348
582,32,18.4,2.96955793
583,32,18.8,2.969538979
584,32,19.2,2.969538979
585,32,19.6,2.969517659
586,32,20,1.978198851
587,32,20.4,1.972161177
588,32,20.8,1.976729631
589,32,21.2,0.473854865
590,32,21.6,0.473641169
591,32,22,0.473646289
592,32,22.4,0.473716214
593,32,22.8,0.562432054
594,32,23.2,0.562432054
595,32,23.6,0.47364625
596,32,24,0.562432148
597,32,24.4,0.473651179
598,32,24.8,0.473646289
599,32,25.2,1.690805939
600,32,25.6,1.79534097
601,32,26,1.79534097
602,32,26.4,1.787235656
603,32,26.8,1.795309911
604,32,27.2,1.787235974
605,32,27.6,1.787235656
606,32,28,1.79534129
607,32,28.4,1.79534129
608,32,28.8,1.79534129
609,32,29.2,1.79534145
610,32,29.6,1.977100127
611,32,30,1.979176203
612,34,10,3.195161777
613,34,10.4,3.195161777
614,34,10.8,3.195161777
615,34,11.2,3.167586011
616,34,11.6,3.167584752
617,34,12,3.167584752
618,34,12.4,3.167584752
619,34,12.8,3.195161777
620,34,13.2,3.195161777
621,34,13.6,3.195161777
622,34,14,3.195161777
623,34,14.4,3.167604897
624,34,14.8,3.167602378
625,34,15.2,3.167584752
626,34,15.6,3.167584752
627,34,16,3.167584752
628,34,16.4,3.195161777
629,34,16.8,3.195161777
630,34,17.2,3.195161777
631,34,17.6,3.195161777
632,34,18,3.167586011
633,34,18.4,3.16754824
634,34,18.8,3.167602378
635,34,19.2,3.167584752
636,34,19.6,3.195161777
637,34,20,0
638,34,20.4,1.990078868
639,34,20.8,1.990078868
640,34,21.2,0.557671571
641,34,21.6,0.557412221
642,34,22,0.557412314
643,34,22.4,0.557418703
644,34,22.8,0.557418703
645,34,23.2,0.555907037
646,34,23.6,0.555907129
647,34,24,0.555907037
648,34,24.4,0.557418564
649,34,24.8,0.557409119
650,34,25.2,1.796882818
651,34,25.6,1.791152111
652,34,26,1.791151958
653,34,26.4,1.81916345
654,34,26.8,1.819163608
655,34,27.2,1.81916345
656,34,27.6,1.819163608
657,34,28,1.791115702
658,34,28.4,1.791121515
659,34,28.8,1.791121515
660,34,29.2,1.79109245
661,34,29.6,1.994723204
662,34,30,1.997376829
663,36,10,3.405369789
664,36,10.4,3.405369789
665,36,10.8,3.367720662
666,36,11.2,3.367671256
667,36,11.6,3.367687279
668,36,12,3.367687279
